"","Fleet","FGroup","Fleet_global","Fleet_atl","Fleet_mz","Fleet_ewe"
"95","Lines_Handlines_and_poles","flatfish<90cm","Lines_Handlines_and_poles_flatfish<90cm",NA,NA,NA
"96","Lines_Handlines_and_poles","lobsterscrab","Lines_Handlines_and_poles_lobsterscrab",NA,NA,NA
"97","Lines_Handlines_and_poles","pelagic30-90cm","Lines_Handlines_and_poles_pelagic30-90cm",NA,NA,NA
"98","Lines_Handlines_and_poles","pelagic<30cm","Lines_Handlines_and_poles_pelagic<30cm",NA,NA,NA
"99","Lines_Handlines_and_poles","pelagic>=90cm","Lines_Handlines_and_poles_pelagic>=90cm",NA,NA,NA
"100","Lines_Handlines_and_poles","rays<90cm","Lines_Handlines_and_poles_rays<90cm",NA,NA,NA
"101","Lines_Handlines_and_poles","rays>=90cm","Lines_Handlines_and_poles_rays>=90cm",NA,NA,NA
"102","Lines_Handlines_and_poles","reef-associated30-90cm","Lines_Handlines_and_poles_reef-associated30-90cm",NA,NA,NA
"103","Lines_Handlines_and_poles","reef-associated<30cm","Lines_Handlines_and_poles_reef-associated<30cm",NA,NA,NA
"104","Lines_Handlines_and_poles","shark>=90cm","Lines_Handlines_and_poles_shark>=90cm",NA,NA,NA
"105","Lines_Handlines_and_poles","shrimp","Lines_Handlines_and_poles_shrimp",NA,NA,NA
"106","Lines_Longlines","bathydemersal30-90cm","Lines_Longlines_bathydemersal30-90cm",NA,NA,NA
"107","Lines_Longlines","bathydemersal<30cm","Lines_Longlines_bathydemersal<30cm",NA,NA,NA
"108","Lines_Longlines","bathydemersal>=90cm","Lines_Longlines_bathydemersal>=90cm",NA,NA,NA
"109","Lines_Longlines","bathypelagic30-90cm","Lines_Longlines_bathypelagic30-90cm",NA,NA,NA
"110","Lines_Longlines","bathypelagic<30cm","Lines_Longlines_bathypelagic<30cm",NA,NA,NA
"111","Lines_Longlines","bathypelagic>=90cm","Lines_Longlines_bathypelagic>=90cm",NA,NA,NA
"112","Lines_Longlines","benthopelagic30-90cm","Lines_Longlines_benthopelagic30-90cm",NA,NA,NA
"113","Lines_Longlines","benthopelagic<30cm","Lines_Longlines_benthopelagic<30cm",NA,NA,NA
"114","Lines_Longlines","benthopelagic>=90cm","Lines_Longlines_benthopelagic>=90cm",NA,NA,NA
"115","Lines_Longlines","cephalopods","Lines_Longlines_cephalopods",NA,NA,NA
"116","Lines_Longlines","demersal30-90cm","Lines_Longlines_demersal30-90cm",NA,NA,NA
"117","Lines_Longlines","demersal<30cm","Lines_Longlines_demersal<30cm",NA,NA,NA
"118","Lines_Longlines","demersal>=90cm","Lines_Longlines_demersal>=90cm",NA,NA,NA
"119","Lines_Longlines","demersalmollusc","Lines_Longlines_demersalmollusc",NA,NA,NA
"120","Lines_Longlines","flatfish<90cm","Lines_Longlines_flatfish<90cm",NA,NA,NA
"121","Lines_Longlines","lobsterscrab","Lines_Longlines_lobsterscrab",NA,NA,NA
"122","Lines_Longlines","pelagic30-90cm","Lines_Longlines_pelagic30-90cm",NA,NA,NA
"123","Lines_Longlines","pelagic<30cm","Lines_Longlines_pelagic<30cm",NA,NA,NA
"124","Lines_Longlines","pelagic>=90cm","Lines_Longlines_pelagic>=90cm",NA,NA,NA
"125","Lines_Longlines","rays<90cm","Lines_Longlines_rays<90cm",NA,NA,NA
"126","Lines_Longlines","rays>=90cm","Lines_Longlines_rays>=90cm",NA,NA,NA
"127","Lines_Longlines","reef-associated30-90cm","Lines_Longlines_reef-associated30-90cm",NA,NA,NA
"128","Lines_Longlines","reef-associated<30cm","Lines_Longlines_reef-associated<30cm",NA,NA,NA
"129","Lines_Longlines","reef-associated>=90cm","Lines_Longlines_reef-associated>=90cm",NA,NA,NA
"130","Lines_Longlines","shark>=90cm","Lines_Longlines_shark>=90cm",NA,NA,NA
"131","Lines_Longlines","shrimp","Lines_Longlines_shrimp",NA,NA,NA
"132","Lines_Unspecified","bathydemersal>=90cm","Lines_Unspecified_bathydemersal>=90cm",NA,NA,NA
"133","Lines_Unspecified","bathypelagic30-90cm","Lines_Unspecified_bathypelagic30-90cm",NA,NA,NA
"134","Lines_Unspecified","bathypelagic>=90cm","Lines_Unspecified_bathypelagic>=90cm",NA,NA,NA
"135","Lines_Unspecified","benthopelagic30-90cm","Lines_Unspecified_benthopelagic30-90cm",NA,NA,NA
"136","Lines_Unspecified","benthopelagic>=90cm","Lines_Unspecified_benthopelagic>=90cm",NA,NA,NA
